Sentence,Entity1,E1_POS,E1_DEP,Entity2,E2_POS,E2_DEP,Relationship,Direction,predicted_relationship,predicted_rel_with_direction
535,entrapments,"['NNS', 'DT', 'DT', 'DT', 'DT']",pobj,suffocation,"['NN', 'DT', 'DT', 'DT', 'DT']",pobj,Cause-Effect,"e1,e2",Product-Producer,"Product-Producer(e2,e1)"
536,glut,['NN'],nsubj,parrs,"['DT', 'NN', 'DT']",pobj,Other,Othe,Product-Producer,"Product-Producer(e2,e1)"
537,crush,['NN'],dobj,fans,"['DT', 'DT', 'NNS']",pobj,Member-Collection,"e2,e1",Other,Other
538,members,['NNS'],nsubjpass,gangs,['NNS'],pobj,Member-Collection,"e1,e2",Member-Collection,"Member-Collection(e2,e1)"
539,signal,['NN'],nsubj,sine,['NN'],pobj,Other,Othe,Entity-Origin,"Entity-Origin(e1,e2)"
540,pie,['NN'],compound,factory,"['TO', 'NN']",dobj,Product-Producer,"e1,e2",Other,Other
541,Storms,"['NNS', 'TO']",nsubj,losses,['NNS'],pobj,Cause-Effect,"e1,e2",Cause-Effect,"Cause-Effect(e2,e1)"
542,app,"['NN', 'VBD']",compound,newspaper,['NN'],pobj,Entity-Origin,"e1,e2",Cause-Effect,"Cause-Effect(e2,e1)"
543,laws,['NNS'],attr,war,['NN'],pobj,Message-Topic,"e1,e2",Cause-Effect,"Cause-Effect(e2,e1)"
544,drivers,['NNS'],nsubj,toothpick,['NN'],pobj,Instrument-Agency,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
545,cross,['NN'],nsubjpass,site,"['PRP', 'NN']",pobj,Entity-Origin,"e1,e2",Entity-Origin,"Entity-Origin(e1,e2)"
546,assembly,"['NN', 'DT', 'DT', 'DT', 'DT']",nsubj,cover,['NN'],dobj,Component-Whole,"e1,e2",Message-Topic,"Message-Topic(e1,e2)"
547,plantation,"['DT', 'IN', 'DT', 'NN']",pobj,beans,"['DT', 'DT', 'NNS']",pobj,Component-Whole,"e2,e1",Member-Collection,"Member-Collection(e2,e1)"
548,seat,"['NN', 'DT']",pobj,cockpit,['NN'],compound,Component-Whole,"e1,e2",Component-Whole,"Component-Whole(e1,e2)"
549,line,"['NN', 'IN']",nsubj,aisle,['NN'],pobj,Other,Othe,Component-Whole,"Component-Whole(e1,e2)"
550,lighting,['VBG'],pobj,works,['NNS'],pobj,Message-Topic,"e2,e1",Entity-Origin,"Entity-Origin(e1,e2)"
551,medicine,['NN'],dobj,food,['NN'],pobj,Entity-Destination,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
552,Discussion,"['NNP', 'IN']",nsubj,function,"['IN', 'NN']",pobj,Message-Topic,"e1,e2",Message-Topic,"Message-Topic(e1,e2)"
553,bottle,['NN'],ROOT,carton box,"['DT', 'NN', 'NN']",compound,Content-Container,"e1,e2",Content-Container,"Content-Container(e1,e2)"
554,fish,['JJ'],compound,oil,['NN'],dobj,Entity-Origin,"e2,e1",Other,Other
555,fume,['NN'],ROOT,irritation,['NN'],conj,Cause-Effect,"e1,e2",Cause-Effect,"Cause-Effect(e1,e2)"
556,flame,"['DT', 'JJ']",conj,pyre,['NN'],pobj,Entity-Origin,"e1,e2",Cause-Effect,"Cause-Effect(e2,e1)"
557,treadmill,['NN'],nsubjpass,space station,"['NN', 'NN']",pobj,Entity-Destination,"e1,e2",Component-Whole,"Component-Whole(e1,e2)"
558,ghostwriters,"['NNS', 'VBP']",pobj,books,"['NNS', 'NN']",dobj,Product-Producer,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
559,geometry,['NN'],nsubjpass,string,['NN'],pobj,Other,Othe,Entity-Origin,"Entity-Origin(e1,e2)"
560,pistil,['NN'],nsubj,carpels,['NNS'],pobj,Component-Whole,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
561,girl,['NN'],nsubj,boy,"['NN', 'NN']",pobj,Entity-Origin,"e1,e2",Entity-Origin,"Entity-Origin(e1,e2)"
562,document,['NN'],attr,facts,"['DT', 'NNS']",dobj,Message-Topic,"e1,e2",Product-Producer,"Product-Producer(e2,e1)"
563,document,['NN'],nsubj,levels,['NNS'],dobj,Message-Topic,"e1,e2",Product-Producer,"Product-Producer(e2,e1)"
564,concern,['NN'],attr,economy,['NN'],pobj,Other,Othe,Other,Other
565,artist,"['NN', 'DT']",nsubjpass,can,"['DT', 'MD']",aux,Entity-Destination,"e1,e2",Content-Container,"Content-Container(e1,e2)"
566,guy,['NN'],nsubj,map,"['DT', 'NN']",pobj,Instrument-Agency,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
567,seniors,"['NNS', 'JJ']",nsubj,leadership positions,"['NN', 'NNS']",pobj,Other,Othe,Entity-Destination,"Entity-Destination(e1,e2)"
568,answer,"['NN', 'DT']",nsubj,trend,['NN'],pobj,Entity-Origin,"e1,e2",Entity-Origin,"Entity-Origin(e1,e2)"
569,volery,['NN'],dobj,birds,['NNS'],pobj,Member-Collection,"e2,e1",Other,Other
570,areas,['NNS'],nsubj,composition,['NN'],pobj,Other,Othe,Member-Collection,"Member-Collection(e2,e1)"
571,kindle,['NN'],pobj,rabbits,['NNS'],pobj,Member-Collection,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
572,investigation,['NN'],nsubj,allegations,['NNS'],pobj,Other,Othe,Other,Other
573,nose,['NN'],pobj,man,['NN'],pobj,Component-Whole,"e1,e2",Component-Whole,"Component-Whole(e2,e1)"
574,shuttles,['NNS'],nsubj,space,['NN'],pobj,Entity-Destination,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
575,valuables,"['NNS', 'DT', 'DT', 'DT']",conj,safe,"['DT', 'JJ', 'DT', 'DT']",amod,Content-Container,"e1,e2",Content-Container,"Content-Container(e1,e2)"
576,Cadre,['NNP'],nsubj,groups,['NNS'],pobj,Member-Collection,"e2,e1",Member-Collection,"Member-Collection(e2,e1)"
577,audience,['NN'],pobj,kids,['NNS'],pobj,Member-Collection,"e2,e1",Other,Other
578,programme,['NN'],pobj,happiness,"['IN', 'NN']",pobj,Message-Topic,"e1,e2",Message-Topic,"Message-Topic(e1,e2)"
579,memo,['NN'],nsubj,lineup,['NN'],pobj,Message-Topic,"e1,e2",Member-Collection,"Member-Collection(e2,e1)"
580,study,['NN'],pobj,mechanisms,['NNS'],pobj,Other,Othe,Member-Collection,"Member-Collection(e2,e1)"
581,children,['NNS'],nsubj,competition,['NN'],pobj,Other,Othe,Component-Whole,"Component-Whole(e1,e2)"
582,congress,"['NN', 'IN', 'IN']",pobj,provinces,['NNS'],pobj,Member-Collection,"e2,e1",Member-Collection,"Member-Collection(e2,e1)"
583,sword,['NN'],appos,blade,"['NN', 'DT', 'DT', 'NN']",pobj,Component-Whole,"e2,e1",Instrument-Agency,"Instrument-Agency(e1,e2)"
584,range,['NN'],nsubjpass,diagram,['NN'],pobj,Message-Topic,"e2,e1",Component-Whole,"Component-Whole(e1,e2)"
585,dashboard,"['DT', 'NN']",pobj,speedometer,['NN'],attr,Component-Whole,"e2,e1",Other,Other
586,text,['NN'],pobj,encyclopedia,"['DT', 'NN']",pobj,Entity-Origin,"e1,e2",Cause-Effect,"Cause-Effect(e2,e1)"
587,information,"['DT', 'NN']",dobj,employees,['NNS'],dobj,Message-Topic,"e1,e2",Other,Other
588,forum,"['IN', 'NN', 'IN']",attr,eighteenth century,"['JJ', 'NN']",pobj,Message-Topic,"e1,e2",Message-Topic,"Message-Topic(e1,e2)"
589,brotherhood,"['DT', 'DT', 'NN', 'DT']",nsubj,bruisers,['NNS'],pobj,Member-Collection,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
590,devastation,['NN'],pobj,waves,['NNS'],pobj,Cause-Effect,"e2,e1",Cause-Effect,"Cause-Effect(e2,e1)"
591,Noise regulations,"['NN', 'NNS']",nsubj,force,['NN'],pobj,Other,Othe,Entity-Destination,"Entity-Destination(e1,e2)"
592,design,"['NN', 'NN']",nsubjpass,architects,"['DT', 'NNS']",pobj,Product-Producer,"e1,e2",Product-Producer,"Product-Producer(e1,e2)"
593,oil,['NN'],nsubj,runoff,['NN'],pobj,Entity-Origin,"e1,e2",Entity-Origin,"Entity-Origin(e1,e2)"
594,design,['NN'],dobj,student,['NN'],pobj,Product-Producer,"e1,e2",Product-Producer,"Product-Producer(e1,e2)"
595,Cancer,['NN'],nsubj,illness,['NN'],dobj,Cause-Effect,"e1,e2",Cause-Effect,"Cause-Effect(e1,e2)"
596,drama,['NN'],nsubj,aftermath,['NN'],pobj,Message-Topic,"e1,e2",Product-Producer,"Product-Producer(e2,e1)"
597,server,['NN'],nsubjpass,cabinet,['NN'],pobj,Entity-Destination,"e1,e2",Content-Container,"Content-Container(e1,e2)"
598,Jeans,['NNS'],nsubj,topstitching,"['VBG', 'TO']",dobj,Component-Whole,"e2,e1",Other,Other
599,legion,['NN'],attr,infantrymen,['NNS'],pobj,Member-Collection,"e2,e1",Other,Other
600,company,"['DT', 'NN', 'DT', 'DT']",attr,fireman,"['DT', 'DT', 'NN', 'DT']",pobj,Product-Producer,"e1,e2",Cause-Effect,"Cause-Effect(e2,e1)"
601,fire,['NN'],dobj,collision,['NN'],pobj,Cause-Effect,"e2,e1",Product-Producer,"Product-Producer(e1,e2)"
602,joy,['NN'],dobj,animals,['NNS'],pobj,Cause-Effect,"e2,e1",Cause-Effect,"Cause-Effect(e2,e1)"
603,essay,"['NN', 'DT']",dobj,literature,"['NN', 'DT']",dobj,Message-Topic,"e1,e2",Product-Producer,"Product-Producer(e2,e1)"
604,mainmast,['NN'],nsubj,bark,['NN'],pobj,Component-Whole,"e1,e2",Component-Whole,"Component-Whole(e1,e2)"
605,interview,['NN'],dobj,next show,"['JJ', 'NN']",pobj,Entity-Destination,"e1,e2",Instrument-Agency,"Instrument-Agency(e1,e2)"
606,skills,['NNS'],pobj,surgery,"['NN', 'NN']",pobj,Other,Othe,Product-Producer,"Product-Producer(e2,e1)"
607,satisfaction,['NN'],pobj,watching,['VBG'],pcomp,Cause-Effect,"e2,e1",Cause-Effect,"Cause-Effect(e2,e1)"
608,dryer,['NN'],nsubj,wall,"['DT', 'NN', 'NN', 'DT']",dobj,Component-Whole,"e2,e1",Other,Other
609,immigrant,"['NN', 'DT']",nsubj,port,['NN'],pobj,Other,Othe,Message-Topic,"Message-Topic(e1,e2)"
610,page,['NN'],nsubj,terms,['NNS'],dobj,Message-Topic,"e1,e2",Message-Topic,"Message-Topic(e1,e2)"
611,taxes,['NNS'],dobj,years,['NNS'],pobj,Entity-Origin,"e1,e2",Cause-Effect,"Cause-Effect(e2,e1)"
612,bottle,"['JJ', 'NN']",nsubjpass,water,['NN'],pobj,Content-Container,"e2,e1",Product-Producer,"Product-Producer(e1,e2)"
613,list,['NN'],nsubjpass,records,['NNS'],pobj,Entity-Origin,"e1,e2",Product-Producer,"Product-Producer(e1,e2)"
614,girl,['NN'],nsubj,danger,['NN'],pobj,Other,Othe,Entity-Destination,"Entity-Destination(e1,e2)"
615,handles,"['CC', 'NNS', 'NN']",dobj,hand brake,"['CC', 'NN', 'NN']",pobj,Component-Whole,"e1,e2",Component-Whole,"Component-Whole(e1,e2)"
616,drug,['NN'],nsubj,brain,"['NN', 'DT']",dobj,Entity-Origin,"e1,e2",Product-Producer,"Product-Producer(e2,e1)"
617,phone,['NN'],nsubjpass,prototype stage,"['JJ', 'NN']",pobj,Other,Othe,Entity-Destination,"Entity-Destination(e1,e2)"
618,files,['NNS'],nsubj,folder,['NN'],pobj,Entity-Destination,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
619,gas centrifuge,"['NN', 'NN', 'DT']",nsubjpass,camp,"['DT', 'NN']",pobj,Entity-Origin,"e1,e2",Content-Container,"Content-Container(e1,e2)"
620,pollution,['NN'],nsubjpass,shipwreck,['NN'],pobj,Cause-Effect,"e2,e1",Cause-Effect,"Cause-Effect(e2,e1)"
621,nose,"['JJ', 'NN']",dobj,surfboard,['NN'],pobj,Component-Whole,"e1,e2",Component-Whole,"Component-Whole(e1,e2)"
622,Inhalation,['NN'],nsubj,irritation,['NN'],dobj,Cause-Effect,"e1,e2",Member-Collection,"Member-Collection(e2,e1)"
623,corridors,['NNS'],pobj,hospital,['NN'],pobj,Component-Whole,"e1,e2",Component-Whole,"Component-Whole(e2,e1)"
624,seminar,"['NN', 'IN']",pobj,system,['NN'],pobj,Message-Topic,"e1,e2",Component-Whole,"Component-Whole(e2,e1)"
625,film,['NN'],ROOT,fare,['NN'],pobj,Other,Othe,Entity-Origin,"Entity-Origin(e1,e2)"
626,hailstorm,"['DT', 'NN', 'DT', 'NN']",conj,bullets,"['NNS', 'NNS']",pobj,Member-Collection,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
627,symposium,['NN'],nsubj,physicians,['NNS'],dobj,Other,Othe,Product-Producer,"Product-Producer(e2,e1)"
628,regulation,"['NN', 'IN']",nsubj,access,['NN'],dobj,Message-Topic,"e1,e2",Message-Topic,"Message-Topic(e1,e2)"
629,ingredients,['NNS'],dobj,mixing ball,"['DT', 'NN', 'NN']",pobj,Entity-Destination,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
630,methane,['NN'],nsubj,wells,['NNS'],pobj,Entity-Destination,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
631,prostate,['NN'],nsubjpass,glands,"['NNS', 'CC']",pobj,Component-Whole,"e2,e1",Product-Producer,"Product-Producer(e1,e2)"
632,pollution,['NN'],nsubj,smog,['JJ'],amod,Cause-Effect,"e1,e2",Cause-Effect,"Cause-Effect(e1,e2)"
633,students,['NNS'],dobj,texts,['NN'],pobj,Instrument-Agency,"e2,e1",Product-Producer,"Product-Producer(e1,e2)"
634,heroes,['NNS'],dobj,literature,"['DT', 'PRP', 'NN']",pobj,Entity-Origin,"e1,e2",Cause-Effect,"Cause-Effect(e2,e1)"
635,suitcase,"['DT', 'JJ']",dobj,cannabis,"['VBZ', 'DT', 'NN']",pobj,Content-Container,"e2,e1",Product-Producer,"Product-Producer(e1,e2)"
636,batter,"['DT', 'NN', 'NN', 'DT']",nsubj,balls,"['DT', 'NNS', 'DT']",dobj,Instrument-Agency,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
637,bed,"['NN', 'NN']",pobj,oysters,['NNS'],pobj,Member-Collection,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
638,topics,['NNS'],nsubjpass,categories,['NNS'],pobj,Entity-Destination,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
639,ice,['NN'],pobj,shore,['NN'],pobj,Entity-Origin,"e1,e2",Entity-Origin,"Entity-Origin(e1,e2)"
640,noise,"['DT', 'NN']",dobj,powertrain,"['DT', 'NN', 'DT']",pobj,Cause-Effect,"e2,e1",Cause-Effect,"Cause-Effect(e2,e1)"
641,factory,['NN'],nsubj,blouses,['NNS'],dobj,Product-Producer,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
642,Lymphoeytes,['NNS'],nsubjpass,lymphatics,['NNS'],pobj,Entity-Destination,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
643,kitchen,['NN'],nsubj,meal,"['DT', 'NN']",dobj,Product-Producer,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
644,files,['NNS'],pobj,bust,['VBP'],pobj,Other,Othe,Cause-Effect,"Cause-Effect(e2,e1)"
645,body,['NN'],nsubjpass,phrase,['NN'],pobj,Other,Othe,Component-Whole,"Component-Whole(e1,e2)"
646,diamond,"['DT', 'DT', 'NN', 'DT']",compound,necklace,"['DT', 'DT', 'NN', 'DT']",dobj,Other,Othe,Other,Other
647,pandemic,['NN'],pobj,infection,['NN'],pobj,Cause-Effect,"e2,e1",Cause-Effect,"Cause-Effect(e2,e1)"
648,player,"['DT', 'NN', 'DT']",attr,orchestra,"['DT', 'DT', 'NN']",pobj,Member-Collection,"e1,e2",Content-Container,"Content-Container(e1,e2)"
649,paper,"['NN', 'DT']",nsubj,review,['NN'],dobj,Message-Topic,"e1,e2",Product-Producer,"Product-Producer(e2,e1)"
650,journal,['NN'],nsubj,history,['NN'],dobj,Message-Topic,"e1,e2",Message-Topic,"Message-Topic(e1,e2)"
651,Heating,['VBG'],nsubj,wood,['NN'],pobj,Other,Othe,Product-Producer,"Product-Producer(e2,e1)"
652,evidence,['NN'],nsubj,results,['NNS'],pobj,Entity-Origin,"e1,e2",Entity-Origin,"Entity-Origin(e1,e2)"
653,data,['NN'],nsubjpass,tables,['NNS'],pobj,Content-Container,"e1,e2",Message-Topic,"Message-Topic(e2,e1)"
654,Wind,['NNP'],nsubj,weathering,"['NN', 'DT', 'DT']",dobj,Cause-Effect,"e1,e2",Cause-Effect,"Cause-Effect(e1,e2)"
655,syndicate,"['DT', 'NN']",attr,investors,"['NNS', 'IN']",nsubj,Member-Collection,"e2,e1",Member-Collection,"Member-Collection(e2,e1)"
656,motifs,['NN'],pobj,ewer,['NN'],pobj,Component-Whole,"e1,e2",Content-Container,"Content-Container(e1,e2)"
657,display,['NN'],nsubj,status,['NN'],dobj,Message-Topic,"e1,e2",Product-Producer,"Product-Producer(e2,e1)"
658,bacteria,"['NN', 'NNS']",dobj,acne,['NN'],intj,Cause-Effect,"e1,e2",Cause-Effect,"Cause-Effect(e1,e2)"
659,chapter,"['NN', 'DT']",nsubj,attempts,"['NNS', 'DT']",dobj,Message-Topic,"e1,e2",Component-Whole,"Component-Whole(e2,e1)"
660,character,"['DT', 'NN']",attr,producers,['NNS'],pobj,Product-Producer,"e1,e2",Cause-Effect,"Cause-Effect(e2,e1)"
661,benchmarking,"['VBG', 'DT']",pcomp,sources,['NNS'],pobj,Message-Topic,"e2,e1",Cause-Effect,"Cause-Effect(e1,e2)"
662,hunter,['NN'],nsubj,cave,"['DT', 'NN']",pobj,Entity-Destination,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
663,barrels,['NNS'],nsubj,coopers,['NNS'],pobj,Product-Producer,"e1,e2",Cause-Effect,"Cause-Effect(e2,e1)"
664,buzzard,['NN'],nsubj,claws,['NN'],dobj,Component-Whole,"e2,e1",Instrument-Agency,"Instrument-Agency(e2,e1)"
665,car,['NN'],nsubj,clutch,['NN'],conj,Component-Whole,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
666,strings,"['NNS', 'NNS', 'IN', 'NNS']",nsubj,guitar,"['DT', 'NN', 'NN']",pobj,Component-Whole,"e1,e2",Component-Whole,"Component-Whole(e1,e2)"
667,fistful,['NN'],pobj,expectations,"['DT', 'NNS']",pobj,Other,Othe,Other,Other
668,cache,"['DT', 'DT', 'NN']",dobj,goods,['NNS'],pobj,Member-Collection,"e2,e1",Product-Producer,"Product-Producer(e1,e2)"
669,hardwire,['NN'],nsubjpass,brain,['NN'],pobj,Entity-Destination,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
670,machineguns,"['NNS', 'NN', 'NN', 'IN', 'DT', 'IN']",nsubj,box,"['NN', 'NN']",pobj,Content-Container,"e1,e2",Content-Container,"Content-Container(e1,e2)"
671,fairy tale,"['JJ', 'NN', 'DT', 'DT']",nsubj,giant,"['DT', 'JJ', 'DT']",dobj,Message-Topic,"e1,e2",Product-Producer,"Product-Producer(e2,e1)"
672,shops,['NNS'],nsubj,clocks,['NNS'],dobj,Product-Producer,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
673,table,['JJ'],nsubj,data,['NNS'],pobj,Message-Topic,"e1,e2",Component-Whole,"Component-Whole(e1,e2)"
674,roof,"['NN', 'IN', 'IN', 'IN']",nsubj,building,"['NN', 'NN', 'NN', 'NN']",dobj,Component-Whole,"e1,e2",Component-Whole,"Component-Whole(e2,e1)"
675,law,"['NN', 'NN']",nsubj,registration,"['VBZ', 'NN']",dobj,Message-Topic,"e1,e2",Product-Producer,"Product-Producer(e2,e1)"
676,cheek,['NN'],compound,bone,"['IN', 'NN']",pobj,Component-Whole,"e2,e1",Product-Producer,"Product-Producer(e1,e2)"
677,bar,['NN'],nsubjpass,steel,['NN'],pobj,Other,Othe,Entity-Origin,"Entity-Origin(e1,e2)"
678,manor,['NN'],nsubj,smallholdings,['NNS'],dobj,Component-Whole,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
679,index,['NN'],nsubjpass,package,['NN'],dobj,Other,Othe,Product-Producer,"Product-Producer(e2,e1)"
680,fear,['NN'],pobj,darkness,['NN'],pobj,Cause-Effect,"e2,e1",Cause-Effect,"Cause-Effect(e2,e1)"
681,tract,"['DT', 'NN']",dobj,liturgical practices,"['DT', 'JJ', 'NNS']",pobj,Message-Topic,"e1,e2",Product-Producer,"Product-Producer(e1,e2)"
682,camp,['NN'],pobj,outsiders,['NNS'],pobj,Member-Collection,"e2,e1",Component-Whole,"Component-Whole(e2,e1)"
683,man,"['DT', 'NN']",poss,thumb,['NN'],pobj,Component-Whole,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
684,data,"['NN', 'DT', 'NN']",nsubjpass,warehouse,"['NN', 'DT']",nsubj,Content-Container,"e1,e2",Other,Other
685,ghost-ship,['JJ'],compound,fleet,['NN'],nsubj,Member-Collection,"e1,e2",Other,Other
686,growth,['NN'],pobj,area,['NN'],pobj,Other,Othe,Cause-Effect,"Cause-Effect(e2,e1)"
687,name,['NN'],compound,goddess,['NN'],pobj,Entity-Origin,"e1,e2",Cause-Effect,"Cause-Effect(e2,e1)"
688,electronic equipment,"['JJ', 'NN', 'IN']",nsubj,cabinet,"['IN', 'DT', 'NN', 'DT', 'IN']",pobj,Content-Container,"e1,e2",Content-Container,"Content-Container(e1,e2)"
689,tsunami,['NN'],nsubj,earthquake,['NN'],pobj,Cause-Effect,"e2,e1",Cause-Effect,"Cause-Effect(e2,e1)"
690,debate,['NN'],dobj,public execution,"['JJ', 'NN']",pobj,Message-Topic,"e1,e2",Product-Producer,"Product-Producer(e1,e2)"
691,switch,['NN'],pobj,light,['NN'],pobj,Component-Whole,"e1,e2",Component-Whole,"Component-Whole(e2,e1)"
692,tape recorder,"['NN', 'NN', 'DT']",nsubj,cabinet,"['IN', 'DT', 'NN', 'NN']",pobj,Content-Container,"e1,e2",Content-Container,"Content-Container(e1,e2)"
693,comedy format,"['DT', 'NN', 'NN']",pobj,sequences,['NNS'],pobj,Other,Othe,Product-Producer,"Product-Producer(e2,e1)"
694,pizza,"['NN', 'DT']",nsubj,trash bag,"['DT', 'JJ', 'NN']",pobj,Content-Container,"e1,e2",Component-Whole,"Component-Whole(e1,e2)"
695,player,"['DT', 'DT', 'NN']",pobj,orchestra,"['DT', 'DT', 'NN']",pobj,Member-Collection,"e1,e2",Component-Whole,"Component-Whole(e2,e1)"
696,worker,['NN'],ROOT,plank,"['DT', 'NN']",dobj,Other,Othe,Product-Producer,"Product-Producer(e2,e1)"
697,electrodes,['NNS'],dobj,brain,['NN'],pobj,Entity-Destination,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
698,Mail,['NN'],nsubjpass,city,['NN'],pobj,Entity-Origin,"e1,e2",Entity-Origin,"Entity-Origin(e1,e2)"
699,painter,"['NN', 'IN']",poss,self-portrait,['NN'],attr,Product-Producer,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
700,grove,['NN'],pobj,redwoods,['NNS'],pobj,Member-Collection,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
701,hinge,['NN'],pobj,book,['NN'],pobj,Component-Whole,"e1,e2",Component-Whole,"Component-Whole(e2,e1)"
702,dowel,['NN'],dobj,groove,['NN'],pobj,Component-Whole,"e2,e1",Product-Producer,"Product-Producer(e1,e2)"
703,grain,"['NN', 'DT']",dobj,drink,['NN'],dobj,Entity-Origin,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
704,agreements,"['NNS', 'DT', 'DT', 'DT']",dobj,diversion,['NN'],pobj,Cause-Effect,"e1,e2",Product-Producer,"Product-Producer(e1,e2)"
705,atmospheric chemistry,"['JJ', 'NN']",pobj,acid rain,"['JJ', 'NN']",dobj,Other,Othe,Message-Topic,"Message-Topic(e1,e2)"
706,suitcase,"['DT', 'NN', 'PRP']",dobj,books,['NNS'],pobj,Content-Container,"e2,e1",Product-Producer,"Product-Producer(e1,e2)"
707,ulcer,['NN'],pobj,stress,['NN'],pobj,Cause-Effect,"e2,e1",Cause-Effect,"Cause-Effect(e2,e1)"
708,mother,"['NN', 'PRP$', 'DT']",nsubj,land,"['NN', 'CC']",dobj,Entity-Origin,"e1,e2",Product-Producer,"Product-Producer(e2,e1)"
709,studies,['NNS'],nsubj,inquiry,['NN'],pobj,Entity-Destination,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
710,notes,['NNS'],dobj,telephone call,"['DT', 'NN', 'NN', 'DT']",pobj,Message-Topic,"e1,e2",Product-Producer,"Product-Producer(e1,e2)"
711,baboons,"['NNS', 'IN']",nsubj,parties,['NNS'],pobj,Member-Collection,"e1,e2",Entity-Destination,"Entity-Destination(e1,e2)"
712,clutch,['NN'],nsubj,mechanics,"['DT', 'NNS']",pobj,Member-Collection,"e2,e1",Other,Other
713,committee,['NN'],pobj,vultures,['NNS'],pobj,Member-Collection,"e2,e1",Member-Collection,"Member-Collection(e2,e1)"
714,money,"['NN', 'NN']",pobj,chest,['NN'],pobj,Content-Container,"e1,e2",Component-Whole,"Component-Whole(e2,e1)"
715,northeast,"['NN', 'DT']",nsubj,contention,['NN'],pobj,Other,Othe,Other,Other
716,bees,['NNS'],nsubj,honey,['NN'],dobj,Product-Producer,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
717,couple,['NN'],nsubj,accounts,"['NNS', 'NNS']",pobj,Other,Othe,Entity-Destination,"Entity-Destination(e1,e2)"
718,recipe,['NN'],nsubjpass,safe,"['DT', 'NN']",pobj,Entity-Destination,"e1,e2",Content-Container,"Content-Container(e1,e2)"
719,Recessions,['NNS'],nsubjpass,excess demand,"['DT', 'JJ', 'NN']",pobj,Cause-Effect,"e2,e1",Cause-Effect,"Cause-Effect(e2,e1)"
720,contractors,"['NNS', 'DT']",pobj,entrance,"['DT', 'NN']",dobj,Other,Othe,Product-Producer,"Product-Producer(e2,e1)"
721,guy,['NN'],attr,story,"['NN', 'TO']",dobj,Product-Producer,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
722,Technicians,['NNS'],nsubj,stage,['NN'],dobj,Product-Producer,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
723,boom,"['NN', 'NN']",pobj,fitting,"['VBG', 'IN']",dobj,Component-Whole,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
724,Questions,"['NNS', 'IN']",nsubjpass,aspects,['NNS'],pobj,Message-Topic,"e1,e2",Product-Producer,"Product-Producer(e1,e2)"
725,tongue,['NN'],dobj,canteen,"['DT', 'NN']",pobj,Other,Othe,Content-Container,"Content-Container(e1,e2)"
726,male,"['NN', 'DT']",nsubj,pit,['NN'],dobj,Product-Producer,"e2,e1",Message-Topic,"Message-Topic(e1,e2)"
727,milk,['NN'],dobj,pail,"['DT', 'NN']",pobj,Content-Container,"e1,e2",Content-Container,"Content-Container(e1,e2)"
728,audience,['NN'],pobj,readers,['NNS'],pobj,Member-Collection,"e2,e1",Product-Producer,"Product-Producer(e2,e1)"
729,slot,['NN'],pobj,music player,"['NN', 'DT', 'DT', 'NN', 'NN']",pobj,Component-Whole,"e1,e2",Other,Other
730,recession,['NN'],pobj,collapse,"['DT', 'NN', 'NN', 'DT']",dobj,Cause-Effect,"e2,e1",Cause-Effect,"Cause-Effect(e1,e2)"
731,punks,['NNS'],nsubj,objects,['NNS'],dobj,Instrument-Agency,"e2,e1",Message-Topic,"Message-Topic(e1,e2)"
732,character,['NN'],nsubj,literature,['NN'],compound,Entity-Origin,"e1,e2",Cause-Effect,"Cause-Effect(e1,e2)"
